date,open,high,low,close
2018-03-22,24352.4,24368.5,24110.1,24171.7
2018-03-21,24375,24528,24251,24325.9
2018-03-20,24210,24430,24135.3,24224.5
2018-03-19,24630,24670,24256.5,24336.9
2018-03-16,24750.9,24869.9,24566,24607.5
2018-03-15,24922,25008,24791,24843
2018-03-14,24690,24970,24551.1,24933.2
2018-03-13,24710,25090,24636,24816.1
2018-03-12,24505.7,24798,24402,24747.8
2018-03-09,24549.8,24580,24285.2,24313.2
2018-03-08,24364,24570,24085.7,24508
2018-03-07,24370,24439,24160.6,24214.2
2018-03-06,24990,25085,24412,24504.2
2018-03-05,24749.7,24905,24683.1,24866.4
2018-03-01,25069.4,25280,24870,24938.5
2018-02-28,24600,25270,24600,25170
2018-02-27,25700,25780,25385,25412.1
2018-02-26,25530,25778,25452,25739.2
2018-02-23,25002,25410,24950,25381.5
2018-02-22,24785,24957,24752.8,24936
2018-02-21,24980,25010.5,24776.1,24928.8
2018-02-20,25061.1,25149.8,24811.8,24859.5
2018-02-19,25300,25324,24840.2,25057.5
2018-02-16,25475.1,25590,25128.6,25192.2
2018-02-15,25325,25613,25281.2,25419
2018-02-14,25760,25830,25250,25357.5
2018-02-12,25602.5,25759.4,25530,25706.5
2018-02-09,25510.2,25650,25356,25513.3
2018-02-08,25741,26148,25622,25941.9
2018-02-07,26111.4,26111.4,25572,25663.5
2018-02-06,25201.1,26213,25000,25848.6
2018-02-05,26095,26317.4,25903.3,26196
2018-02-02,26995,26995,26425.5,26504.7
2018-02-01,27430.4,27661,27078.6,27233.2
2018-01-31,27222,27582.5,27210.4,27465.6
2018-01-30,27451,27479.9,27312.2,27358.7
2018-01-29,27382,27639.7,27382,27509.3
2018-01-25,27637.4,27637.4,27170,27374.2
2018-01-24,27310,27474.7,27219.2,27426.8
2018-01-23,27044.4,27415,27030,27386
2018-01-22,26889.9,27045.4,26801.7,27015.5
2018-01-19,26551,26947.8,26430,26896
2018-01-18,26610.2,26768,26385,26499.4
2018-01-17,25990,26313,25912,26290
2018-01-16,26121,26121,25937,25981.4
2018-01-15,25774.8,26063.5,25762.5,26044.8
2018-01-12,25710,25764.8,25568,25743.4
2018-01-11,25602.4,25707,25550,25668.5
2018-01-10,25696.2,25714.8,25565.7,25625.7
2018-01-09,25750,25769.2,25641,25709.5
2018-01-08,25699.9,25779.9,25685.1,25724.7
2018-01-05,25534,25668.3,25520.7,25636.5
2018-01-04,25394.8,25524,25379.5,25496.4
2018-01-03,25440,25499,25370,25386.8
