date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2020-11-18,12863.65,12965.8,12833.0,12957.25,9019725,11555025,DB,,,,,0.9589226108935152,0,,,,,,-1.0,11514.75,,11514.75,,
2020-11-19,12857.7,12976.25,12753.0,12793.5,13082775,11365350,OSB,12976.25,12976.25,,high,0.31656700668308124,0,,,,,,-1.0,11514.75,,11514.75,,
2020-11-20,12795.05,12909.5,12744.5,12871.3,12147300,11092800,DB,12744.5,,12744.5,low,0.9851374764009796,0,,,,,,-1.0,11514.75,,12744.5,,
2020-11-23,12935.95,12978.4,12825.0,12934.35,10050975,10343475,DB,,,,,0.8454232334829377,1,12935.95,13137.75,12785.7,13017.4,0.0,-1.0,12744.5,,12744.5,,
2020-11-24,12977.2,13081.6,12964.8,13062.45,10065900,8707200,DB,,,,,0.747562670096356,0,,,,,,-1.0,12744.5,,12744.5,,
2020-11-25,13130.15,13137.75,12844.25,12859.15,18187350,5093325,OSB,13137.75,13137.75,,high,0.11587080016952626,0,,,,,,-1.0,12744.5,,12744.5,,
2020-11-26,12920.65,12998.0,12785.7,12977.2,12217875,3265575,DB,12785.7,,12785.7,low,1.4756650124834325,0,,,,,,-1.0,12744.5,,12785.7,,
2020-11-27,13043.0,13094.0,12966.0,13017.4,11974125,11975625,DB,,,,,0.39485611566057466,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-01,13031.0,13168.35,12992.85,13143.4,8777400,11884275,DB,,,,,1.1454418187074826,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-02,13144.4,13177.0,13017.95,13162.45,10920525,11650425,DB,,,,,1.0978199347385935,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-03,13210.2,13228.4,13153.05,13191.85,7593000,11983725,DB,,,,,0.2941209913696797,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-04,13220.2,13326.6,13202.35,13311.6,9011175,12531525,DB,,,,,0.8207127618017368,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-07,13268.2,13398.0,13265.7,13387.6,7295100,12230775,DB,,,,,0.9105440855717203,0,13268.2,13599.0,13265.7,13518.35,0.0,-1.0,12785.7,,12785.7,,
2020-12-08,13401.05,13469.0,13352.05,13428.15,9282450,12272550,DB,,,,,0.5667199130185495,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-09,13457.7,13588.0,13456.15,13567.7,8788875,12466800,DB,13588.0,13588.0,,high,0.8221732497033476,0,,,,,,-1.0,12785.7,,12785.7,,
2020-12-10,13504.2,13544.0,13425.0,13524.35,9037125,11695800,DB,13425.0,,13425.0,low,0.7346009235194325,0,,,,,,-1.0,12785.7,,13425.0,,
2020-12-11,13530.1,13599.0,13414.45,13518.35,10869450,11956650,OSB,13414.45,,13414.45,low,0.7685849234558925,1,,,,,,-1.0,13425.0,13588.0,,13425.0,13425.0
2020-12-14,13550.0,13612.95,13490.0,13571.6,7440975,11838075,DB,13612.95,13612.95,,high,0.6012555630876268,1,13550.0,13799.1,13454.2,13774.05,0.0,1.0,13588.0,,13414.45,13588.0,13588.0
2020-12-15,13530.05,13602.8,13454.2,13584.95,8456550,11748750,DB,13454.2,,13454.2,low,0.9624621364083047,1,,,,,,-1.0,13414.45,,13454.2,,
2020-12-16,13652.0,13712.1,13619.8,13699.45,7997175,12492375,DB,,,,,0.581410202599385,0,,,,,,-1.0,13454.2,,13454.2,,
2020-12-17,13710.15,13794.75,13686.9,13754.4,6961125,12812925,DB,,,,,0.49075205025300994,0,,,,,,-1.0,13454.2,,13454.2,,
